"date2","NEUIL","RUR.SE"
2019-05-21,83,103
2019-05-22,112,120
2019-05-23,127,112
2019-05-24,118,123
2019-05-25,85,99
2019-05-26,60,74
2019-05-27,87,93
2019-05-28,59,60
2019-05-29,78,85
2019-05-30,44,52
2019-05-31,97,74
2019-06-01,110,86
2019-06-02,107,116
2019-06-03,69,71
2019-06-04,46,65
2019-06-05,56,70
2019-06-06,74,77
2019-06-07,86,96
2019-06-08,68,75
2019-06-09,95,77
2019-06-10,76,83
2019-06-11,58,81
2019-06-12,60,81
2019-06-13,64,83
2019-06-14,97,98
2019-06-15,81,81
2019-06-16,57,62
2019-06-17,86,74
2019-06-18,95,105
2019-06-19,77,84
2019-06-20,65,68
2019-06-21,84,105
2019-06-22,108,109
2019-06-23,100,91
2019-06-24,112,106
2019-06-25,119,105
2019-07-02,102,102
2019-07-03,60,79
2019-07-04,40,68
2019-07-10,114,112
2019-07-11,108,113
2019-07-12,88,84
2019-07-13,84,99
2019-07-14,72,82
2019-07-15,90,103
2019-07-16,115,128
2019-07-17,118,131
2019-07-18,75,106
2019-07-19,73,95
2019-07-22,159,116
2019-07-23,49,85
2019-07-25,104,126
2019-07-26,98,85
2019-07-31,64,80
2019-08-01,88,99
2019-08-02,93,124
2019-08-03,87,110
2019-08-04,116,125
2019-08-05,68,86
2019-08-06,42,60
2019-08-07,68,84
2019-08-08,85,95
2019-08-09,50,85
2019-08-10,76,86
2019-08-11,67,70
2019-08-12,64,73
2019-08-13,61,77
2019-08-14,64,75
2019-08-15,57,63
2019-08-16,64,79
2019-08-17,43,44
2019-08-18,51,47
2019-08-27,140,146
2019-08-28,89,116
2019-08-29,53,73
2019-08-30,83,104
